product_id,category_id,product_type,product_detail
1,4,Organic Beans,Brazilian - Organic
2,4,House blend Beans,Our Old Time Diner Blend
3,4,Espresso Beans,Espresso Roast
4,4,Espresso Beans,Primo Espresso Roast
5,4,Gourmet Beans,Columbian Medium Roast
6,4,Gourmet Beans,Ethiopia
7,4,Premium Beans,Jamacian Coffee River
8,4,Premium Beans,Civet Cat
9,4,Organic Beans,Organic Decaf Blend
10,4,Green beans,Guatemalan Sustainably Grown
11,7,Herbal tea,Lemon Grass
12,7,Herbal tea,Peppermint
13,7,Black tea,English Breakfast
14,7,Black tea,Earl Grey
15,7,Green tea,Serenity Green Tea
16,7,Chai tea,Traditional Blend Chai
17,7,Chai tea,Morning Sunrise Chai
18,7,Chai tea,Spicy Eye Opener Chai
19,8,Drinking Chocolate,Dark chocolate
20,8,Organic Chocolate,Sustainably Grown Organic
21,8,Drinking Chocolate,Chili Mayan
22,3,Drip coffee,Our Old Time Diner Blend Sm
23,3,Drip coffee,Our Old Time Diner Blend Rg
24,3,Drip coffee,Our Old Time Diner Blend Lg
25,3,Organic brewed coffee,Brazilian Sm
26,3,Organic brewed coffee,Brazilian Rg
27,3,Organic brewed coffee,Brazilian Lg
28,3,Gourmet brewed coffee,Columbian Medium Roast Sm
29,3,Gourmet brewed coffee,Columbian Medium Roast Rg
30,3,Gourmet brewed coffee,Columbian Medium Roast Lg
31,3,Gourmet brewed coffee,Ethiopia Sm
32,3,Gourmet brewed coffee,Ethiopia Rg
33,3,Gourmet brewed coffee,Ethiopia Lg
34,3,Premium brewed coffee,Jamaican Coffee River Sm
35,3,Premium brewed coffee,Jamaican Coffee River Rg
36,3,Premium brewed coffee,Jamaican Coffee River Lg
37,3,Barista Espresso,Espresso shot
38,3,Barista Espresso,Latte
39,3,Barista Espresso,Latte Rg
40,3,Barista Espresso,Cappuccino
41,3,Barista Espresso,Cappuccino Lg
42,9,Brewed herbal tea,Lemon Grass Rg
43,9,Brewed herbal tea,Lemon Grass Lg
44,9,Brewed herbal tea,Peppermint Rg
45,9,Brewed herbal tea,Peppermint Lg
46,9,Brewed Green tea,Serenity Green Tea Rg
47,9,Brewed Green tea,Serenity Green Tea Lg
48,9,Brewed Black tea,English Breakfast Rg
49,9,Brewed Black tea,English Breakfast Lg
50,9,Brewed Black tea,Earl Grey Rg
51,9,Brewed Black tea,Earl Grey Lg
52,9,Brewed Chai tea,Traditional Blend Chai Rg
53,9,Brewed Chai tea,Traditional Blend Chai Lg
54,9,Brewed Chai tea,Morning Sunrise Chai Rg
55,9,Brewed Chai tea,Morning Sunrise Chai Lg
56,9,Brewed Chai tea,Spicy Eye Opener Chai Rg
57,9,Brewed Chai tea,Spicy Eye Opener Chai Lg
58,5,Hot chocolate,Dark chocolate Rg
59,5,Hot chocolate,Dark chocolate Lg
60,5,Hot chocolate,Sustainably Grown Organic Rg
61,5,Hot chocolate,Sustainably Grown Organic Lg
63,6,Regular syrup,Carmel syrup
64,6,Regular syrup,Hazelnut syrup
65,6,Sugar free syrup,Sugar Free Vanilla syrup
69,1,Biscotti,Hazelnut Biscotti
70,1,Scone,Cranberry Scone
71,1,Pastry,Chocolate Croissant
72,1,Scone,Ginger Scone
73,1,Pastry,Almond Croissant
74,1,Biscotti,Ginger Biscotti
75,1,Pastry,Croissant
76,1,Biscotti,Chocolate Chip Biscotti
77,1,Scone,Oatmeal Scone
78,1,Scone,Scottish Cream Scone 
79,1,Scone,Jumbo Savory Scone
81,2,Clothing,I Need My Bean! T-shirt
82,2,Housewares,I Need My Bean! Diner mug
83,2,Housewares,I Need My Bean! Latte cup
84,6,Regular syrup,Chocolate syrup
87,3,Barista Espresso,Ouro Brasileiro shot
